"Timestamp","Age","Gender","What kind of Locality do you live in?","Education level - Either Studying or Completed","Family Income per year(in Rupees)","How likely are you to use home remedies for the following health issue/ symptom :  [Sore throat / Cough]","How likely are you to use home remedies for the following health issue/ symptom :  [Running Nose]","How likely are you to use home remedies for the following health issue/ symptom :  [Diarrhoea]","How likely are you to use home remedies for the following health issue/ symptom :  [Back/Joint pain]","How likely are you to use home remedies for the following health issue/ symptom :  [Constipation]","How likely are you to use home remedies for the following health issue/ symptom :  [Headache]","How likely are you to use home remedies for the following health issue/ symptom :  [Wounds / minor cuts and bruises]","How likely are you to use home remedies for the following health issue/ symptom :  [Sleeping problems / nervousness]","Have you ever used any of the following home remedies?","Do you prefer using Home remedies?"
"2020/10/20 12:59:30 PM GMT+5:30","40","Female","Urban","Post Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Using Hot water steam","Yes"
"2020/10/20 1:01:03 PM GMT+5:30","52","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 1:05:52 PM GMT+5:30","43","Male","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 1:17:50 PM GMT+5:30","21","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Never","Once in a while","Never","Once in a while","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 1:28:09 PM GMT+5:30","38","Female","Rural","Graduate","Prefer not to say","Once in a while","Never","Never","Never","Never","Most of the time","Never","Never","Gargling for Sore throat","No"
"2020/10/20 1:28:42 PM GMT+5:30","28","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Never","Most of the time","Never","Always","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 1:32:11 PM GMT+5:30","27","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Never","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam","Yes"
"2020/10/20 1:32:36 PM GMT+5:30","27","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Never","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam","Yes"
"2020/10/20 1:37:28 PM GMT+5:30","34","Male","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Most of the time","Most of the time","Always","Most of the time","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 1:41:07 PM GMT+5:30","29","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Never","Never","Once in a while","Once in a while","Once in a while","Once in a while","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 1:41:27 PM GMT+5:30","29","Male","Urban","Graduate","less than 1 Lakh","Most of the time","Most of the time","Never","Never","Once in a while","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 1:43:47 PM GMT+5:30","43","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Never","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 2:01:27 PM GMT+5:30","43","Male","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Always","Once in a while","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 2:03:36 PM GMT+5:30","21","Female","Urban","Graduate","Prefer not to say","Never","Never","Never","Never","Never","Never","Never","Never","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 2:05:50 PM GMT+5:30","53","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 2:06:04 PM GMT+5:30","53","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Once in a while","Once in a while","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 2:08:27 PM GMT+5:30","31","Male","Urban","High School","Prefer not to say","Once in a while","Once in a while","Never","Never","Once in a while","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 2:10:36 PM GMT+5:30","28","Female","Rural","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 2:10:37 PM GMT+5:30","35","Male","Urban","Basic schooling","Prefer not to say","Once in a while","Once in a while","Never","Once in a while","Once in a while","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 2:11:31 PM GMT+5:30","41","Female","Urban","Graduate","Prefer not to say","Always","Always","Once in a while","Always","Always","Always","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/20 2:15:48 PM GMT+5:30","30","Male","Urban","Basic schooling","Prefer not to say","Once in a while","Once in a while","Never","Once in a while","Once in a while","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 2:17:51 PM GMT+5:30","46","Female","Urban","High School","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 2:25:14 PM GMT+5:30","45","Male","Urban","Post Graduate","Prefer not to say","Once in a while","Never","Never","Once in a while","Once in a while","Never","Once in a while","Never","Using Hot water steam","Yes"
"2020/10/20 2:38:17 PM GMT+5:30","50","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Never","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 2:38:31 PM GMT+5:30","40","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Once in a while","Most of the time","Once in a while","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 2:41:06 PM GMT+5:30","49","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 2:42:59 PM GMT+5:30","50","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Most of the time","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 2:59:14 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Most of the time","Once in a while","Never","Once in a while","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 3:07:33 PM GMT+5:30","44","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Always","Always","Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 3:07:35 PM GMT+5:30","50","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 3:09:44 PM GMT+5:30","45","Female","Rural","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:09:49 PM GMT+5:30","65","Female","Rural","High School","Prefer not to say","Most of the time","Never","Once in a while","Never","Most of the time","Never","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 3:10:38 PM GMT+5:30","50","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:13:16 PM GMT+5:30","46","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 3:17:54 PM GMT+5:30","52","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Once in a while","Once in a while","Never","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 3:18:05 PM GMT+5:30","29","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 3:18:15 PM GMT+5:30","41","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Always","Once in a while","Most of the time","Always","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:18:22 PM GMT+5:30","43","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Most of the time","Always","Most of the time","Always","Most of the time","Always","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:20:09 PM GMT+5:30","52","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Once in a while","Once in a while","Never","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 3:21:33 PM GMT+5:30","31","Male","Urban","Graduate","Above 25 lakh","Always","Always","Once in a while","Once in a while","Always","Once in a while","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 3:22:41 PM GMT+5:30","45","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 3:22:59 PM GMT+5:30","36","Female","Urban","Graduate","Above 25 lakh","Most of the time","Once in a while","Never","Always","Once in a while","Most of the time","Most of the time","Always","Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 3:25:51 PM GMT+5:30","45","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:28:56 PM GMT+5:30","27","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Most of the time","Once in a while","Most of the time","Kadha / Herbal Teas;Drink Haldi/Turmeric milk","Yes"
"2020/10/20 3:28:56 PM GMT+5:30","45","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:32:58 PM GMT+5:30","42","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 3:35:26 PM GMT+5:30","42","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 3:36:30 PM GMT+5:30","43","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:38:38 PM GMT+5:30","44","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/20 3:43:54 PM GMT+5:30","27","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 3:46:47 PM GMT+5:30","37","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Never","Once in a while","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 3:47:23 PM GMT+5:30","39","Male","Rural","High School","Above 25 lakh","Once in a while","Once in a while","Never","Once in a while","Once in a while","Never","Once in a while","Once in a while","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat","No"
"2020/10/20 3:48:30 PM GMT+5:30","45","Male","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Never","Never","Never","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat","No"
"2020/10/20 3:48:30 PM GMT+5:30","45","Male","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Never","Never","Never","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat","No"
"2020/10/20 3:52:09 PM GMT+5:30","26","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Always","Most of the time","Always","Always","Always","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 4:03:57 PM GMT+5:30","18","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Never","Never","Never","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 4:44:51 PM GMT+5:30","24","Male","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Never","Never","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","No"
"2020/10/20 4:47:46 PM GMT+5:30","31","Female","Urban","Post Graduate","less than 1 Lakh","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 5:42:16 PM GMT+5:30","49","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 6:14:57 PM GMT+5:30","17","Male","Urban","High School","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Once in a while","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 6:16:20 PM GMT+5:30","48","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Never","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 6:25:34 PM GMT+5:30","31","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 6:38:48 PM GMT+5:30","24","Male","Urban","Graduate","less than 1 Lakh","Always","Always","Never","Once in a while","Always","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 7:06:04 PM GMT+5:30","43","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Most of the time","Always","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 7:45:17 PM GMT+5:30","42","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Never","Never","Never","Never","Kadha / Herbal Teas","Yes"
"2020/10/20 7:47:14 PM GMT+5:30","18","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Never","Never","Once in a while","Never","Kadha / Herbal Teas;Using Hot water steam","No"
"2020/10/20 7:49:11 PM GMT+5:30","18","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 7:52:37 PM GMT+5:30","19","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Never","Once in a while","Never","Never","Using Hot water steam;Gargling for Sore throat","No"
"2020/10/20 7:53:03 PM GMT+5:30","64","Female","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Most of the time","Once in a while","Never","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/20 8:05:21 PM GMT+5:30","55","Male","Urban","Graduate","Prefer not to say","Always","Always","Once in a while","Most of the time","Once in a while","Once in a while","Most of the time","Never","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/20 8:31:18 PM GMT+5:30","52","Male","Urban","High School","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam","Yes"
"2020/10/20 9:07:53 PM GMT+5:30","19","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Never","Never","Never","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 9:28:55 PM GMT+5:30","46","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Once in a while","Never","Most of the time","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/20 9:33:04 PM GMT+5:30","19","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Never","Never","Most of the time","Most of the time","Never","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Other Home Remedies","Yes"
"2020/10/20 9:35:56 PM GMT+5:30","18","Female","Urban","Post Graduate","Prefer not to say","Never","Once in a while","Never","Once in a while","Never","Most of the time","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam","No"
"2020/10/20 9:42:13 PM GMT+5:30","19","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Never","Always","Once in a while","Always","Always","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 9:51:30 PM GMT+5:30","19","Male","Urban","Graduate","Prefer not to say","Most of the time","Never","Never","Never","Never","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/20 10:01:31 PM GMT+5:30","19","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Once in a while","Once in a while","Never","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
